x,y,z
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.111111164093017578e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.222222328186035156e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.333333253860473633e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.444444656372070312e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.555555343627929688e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.666666507720947266e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.777777671813964844e+00,0.000000000000000000e+00
0.000000000000000000e+00,8.888889312744140625e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
-1.213864535093307495e-01,1.220016479492187500e+01,0.000000000000000000e+00
-4.840723574161529541e-01,1.437362194061279297e+01,0.000000000000000000e+00
-1.083655118942260742e+00,1.649398994445800781e+01,0.000000000000000000e+00
-1.912856817245483398e+00,1.853552818298339844e+01,0.000000000000000000e+00
-2.961611747741699219e+00,2.047345733642578125e+01,0.000000000000000000e+00
-4.217189788818359375e+00,2.228425407409667969e+01,0.000000000000000000e+00
-5.664349555969238281e+00,2.394593620300292969e+01,0.000000000000000000e+00
-7.285524845123291016e+00,2.543833351135253906e+01,0.000000000000000000e+00
-9.061037063598632812e+00,2.674333000183105469e+01,0.000000000000000000e+00
-1.096933269500732422e+01,2.784508514404296875e+01,0.000000000000000000e+00
-1.298724842071533203e+01,2.873022460937500000e+01,0.000000000000000000e+00
-1.509029006958007812e+01,2.938800621032714844e+01,0.000000000000000000e+00
-1.725292968750000000e+01,2.981044197082519531e+01,0.000000000000000000e+00
-1.944891357421875000e+01,2.999240684509277344e+01,0.000000000000000000e+00
-2.165158653259277344e+01,2.993169021606445312e+01,0.000000000000000000e+00
-2.383421325683593750e+01,2.962903022766113281e+01,0.000000000000000000e+00
-2.597029685974121094e+01,2.908810043334960938e+01,0.000000000000000000e+00
-2.803390884399414062e+01,2.831546592712402344e+01,0.000000000000000000e+00
-3.000000000000000000e+01,2.732050895690917969e+01,0.000000000000000000e+00
-3.000000000000000000e+01,2.732050895690917969e+01,0.000000000000000000e+00
-3.096224975585937500e+01,2.676495170593261719e+01,0.000000000000000000e+00
-3.192450141906738281e+01,2.620939636230468750e+01,0.000000000000000000e+00
-3.288675308227539062e+01,2.565384101867675781e+01,0.000000000000000000e+00
-3.384900283813476562e+01,2.509828567504882812e+01,0.000000000000000000e+00
-3.481125259399414062e+01,2.454273033142089844e+01,0.000000000000000000e+00
-3.577350234985351562e+01,2.398717498779296875e+01,0.000000000000000000e+00
-3.673575210571289062e+01,2.343161964416503906e+01,0.000000000000000000e+00
-3.769800186157226562e+01,2.287606430053710938e+01,0.000000000000000000e+00
-3.866025543212890625e+01,2.232050895690917969e+01,0.000000000000000000e+00
-3.866025543212890625e+01,2.232050895690917969e+01,0.000000000000000000e+00
-3.962250518798828125e+01,2.176495361328125000e+01,0.000000000000000000e+00
-4.058475494384765625e+01,2.120939826965332031e+01,0.000000000000000000e+00
-4.154700469970703125e+01,2.065384292602539062e+01,0.000000000000000000e+00
-4.250925827026367188e+01,2.009828567504882812e+01,0.000000000000000000e+00
-4.347150802612304688e+01,1.954273033142089844e+01,0.000000000000000000e+00
-4.443375778198242188e+01,1.898717498779296875e+01,0.000000000000000000e+00
-4.539600753784179688e+01,1.843161964416503906e+01,0.000000000000000000e+00
-4.635826110839843750e+01,1.787606430053710938e+01,0.000000000000000000e+00
-4.732051086425781250e+01,1.732050895690917969e+01,0.000000000000000000e+00
-4.732051086425781250e+01,1.732050895690917969e+01,0.000000000000000000e+00
-4.928660202026367188e+01,1.632555007934570312e+01,0.000000000000000000e+00
-5.135021209716796875e+01,1.555291557312011719e+01,0.000000000000000000e+00
-5.348629760742187500e+01,1.501198577880859375e+01,0.000000000000000000e+00
-5.566892242431640625e+01,1.470932674407958984e+01,0.000000000000000000e+00
-5.787159729003906250e+01,1.464861011505126953e+01,0.000000000000000000e+00
-6.006758117675781250e+01,1.483057403564453125e+01,0.000000000000000000e+00
-6.223021697998046875e+01,1.525300979614257812e+01,0.000000000000000000e+00
-6.433325958251953125e+01,1.591078948974609375e+01,0.000000000000000000e+00
-6.635118103027343750e+01,1.679593086242675781e+01,0.000000000000000000e+00
-6.825947570800781250e+01,1.789768600463867188e+01,0.000000000000000000e+00
-7.003498840332031250e+01,1.920268249511718750e+01,0.000000000000000000e+00
-7.165615844726562500e+01,2.069507789611816406e+01,0.000000000000000000e+00
-7.310331726074218750e+01,2.235676193237304688e+01,0.000000000000000000e+00
-7.435890197753906250e+01,2.416755676269531250e+01,0.000000000000000000e+00
-7.540765380859375000e+01,2.610548591613769531e+01,0.000000000000000000e+00
-7.623685455322265625e+01,2.814702606201171875e+01,0.000000000000000000e+00
